Z     age    Bmag   Vmag  
0.015 7.600   6.476  5.668
0.015 7.600   4.768  4.248
0.015 7.600   5.097  4.525
0.015 7.600   5.211  4.623
0.015 7.600   3.679  3.317
0.015 7.600   5.943  5.240
0.015 7.600   8.420  7.239
0.015 7.600   1.939  1.895
0.015 7.600   1.984  1.932
0.015 7.600   7.974  6.888
0.015 7.600   3.709  3.343
0.015 7.600   4.597  4.104
0.015 7.600   2.906  2.674
0.015 7.600   3.082  2.819
0.015 7.600   8.667  7.436
0.015 7.600   4.885  4.347
0.015 7.600   6.020  5.304
0.015 7.600   6.848  5.969
0.015 7.600   3.440  3.115
0.015 7.600   7.738  6.695
0.015 7.600   9.156  7.841
0.015 7.600   2.824  2.608
0.015 7.600   1.203  1.258
0.015 7.600   4.066  3.650
0.015 7.600   5.806  5.125
0.015 7.600   0.245  0.362
0.015 7.600   1.825  1.800
0.015 7.600   6.410  5.615
0.015 7.600  -0.336 -0.193
0.015 7.600   6.484  5.675
0.015 7.600   5.689  5.027
0.015 7.600   3.492  3.159
0.015 7.600   7.083  6.163
0.015 7.600   2.229  2.131
0.015 7.600   7.633  6.611
0.015 7.600   3.734  3.365
0.015 7.600  -1.669 -1.480
0.015 7.600  -2.915 -2.724
0.015 7.600   1.113  1.176
0.015 7.600   4.352  3.896
0.015 7.600   4.888  4.350
0.015 7.600   4.606  4.111
0.015 7.600   5.768  5.093
0.015 7.600   7.833  6.773
0.015 7.600   0.301  0.414
0.015 7.600  -0.843 -0.679
0.015 7.600   1.313  1.357
0.015 7.600   9.087  7.782
0.015 7.600   2.978  2.734
0.015 7.600   6.188  5.440
0.015 7.600   5.878  5.186
0.015 7.600  -3.274 -3.091
0.015 7.600   5.909  5.211
0.015 7.600   6.417  5.621
0.015 7.600   4.962  4.412
0.015 7.600   5.667  5.008
0.015 7.600   8.482  7.289
0.015 7.600   6.158  5.416
0.015 7.600   5.301  4.699
0.015 7.600   4.420  3.954
0.015 7.600   7.187  6.247
0.015 7.600   3.651  3.293
0.015 7.600   6.002  5.289
0.015 7.600   4.586  4.094
0.015 7.600   6.719  5.865
0.015 7.600   4.654  4.152
0.015 7.600   2.512  2.357
0.015 7.600   7.866  6.800
0.015 7.600   9.321  7.983
0.015 7.600   7.407  6.426
0.015 7.600   2.931  2.695
0.015 7.600   4.012  3.604
0.015 7.600   3.189  2.907
0.015 7.600   8.637  7.412
0.015 7.600   3.194  2.911
0.015 7.600   2.087  2.017
0.015 7.600   6.191  5.443
0.015 7.600   4.720  4.208
0.015 7.600   7.206  6.262
0.015 7.600   7.936  6.857
0.015 7.600  -0.841 -0.677
0.015 7.600  -0.832 -0.668
0.015 7.600   4.470  3.996
0.015 7.600   6.210  5.458
0.015 7.600   7.640  6.616
0.015 7.600   7.027  6.117
0.015 7.600   6.195  5.446
0.015 7.600   6.229  5.473
0.015 7.600   6.497  5.685
0.015 7.600   7.109  6.183
0.015 7.600   8.164  7.038
0.015 7.600   1.073  1.140
0.015 7.600   3.517  3.180
0.015 7.600   3.217  2.930
0.015 7.600   0.511  0.614
0.015 7.600   0.826  0.911
0.015 7.600   9.233  7.907
0.015 7.600   4.146  3.719
0.015 7.600   5.622  4.969
0.015 7.600   5.005  4.448
0.015 7.600   1.773  1.756
0.015 7.600   6.548  5.726
0.015 7.600   1.533  1.551
0.015 7.600   7.555  6.547
0.015 7.600   5.548  4.908
0.015 7.600   7.042  6.128
0.015 7.600  -0.723 -0.563
0.015 7.600   1.169  1.227
0.015 7.600   0.760  0.849
0.015 7.600   2.356  2.233
0.015 7.600  -2.275 -2.079
0.015 7.600   5.963  5.257
0.015 7.600   0.159  0.279
0.015 7.600   0.556  0.656
0.015 7.600   5.394  4.778
0.015 7.600   5.480  4.850
0.015 7.600   9.213  7.889
0.015 7.600   8.001  6.909
0.015 7.600  -0.631 -0.475
0.015 7.600   1.707  1.700
0.015 7.600   8.167  7.040
0.015 7.600   6.107  5.374
0.015 7.600   6.727  5.872
0.015 7.600   5.158  4.578
0.015 7.600   2.793  2.582
0.015 7.600   1.683  1.680
0.015 7.600   6.919  6.028
0.015 7.600   4.410  3.946
0.015 7.600   8.104  6.991
0.015 7.600   3.313  3.009
0.015 7.600   0.961  1.036
0.015 7.600  -0.040  0.090
0.015 7.600   4.493  4.016
0.015 7.600   3.418  3.097
0.015 7.600   5.318  4.714
0.015 7.600   4.857  4.323
0.015 7.600   0.507  0.609
0.015 7.600   2.351  2.229
0.015 7.600   2.640  2.459
0.015 7.600   8.305  7.147
0.015 7.600   1.582  1.594
0.015 7.600   2.801  2.589
0.015 7.600   1.253  1.303
0.015 7.600  -0.173 -0.037
0.015 7.600   5.809  5.128
0.015 7.600   4.040  3.627
0.015 7.600   5.743  5.072
0.015 7.600   1.799  1.778
0.015 7.600   5.790  5.112
0.015 7.600   1.438  1.468
0.015 7.600   3.911  3.517
0.015 7.600   7.787  6.735
0.015 7.600   6.529  5.711
0.015 7.600  -0.206 -0.068
0.015 7.600   6.816  5.944
0.015 7.600   4.329  3.876
0.015 7.600   5.229  4.638
0.015 7.600   8.594  7.378
0.015 7.600   3.903  3.510
0.015 7.600   0.611  0.709
0.015 7.600   5.257  4.662
0.015 7.600   7.117  6.190
0.015 7.600   7.765  6.717
0.015 7.600   2.968  2.726
0.015 7.600   6.007  5.293
0.015 7.600   2.582  2.412
0.015 7.600   8.767  7.516
0.015 7.600   9.023  7.728
0.015 7.600   4.652  4.150
0.015 7.600   4.233  3.794
0.015 7.600   1.099  1.164
0.015 7.600   6.062  5.338
0.015 7.600   7.363  6.390
0.015 7.600   6.832  5.957
0.015 7.600   5.144  4.566
0.015 7.600   6.182  5.436
0.015 7.600   6.101  5.370
0.015 7.600   3.864  3.477
0.015 7.600   6.306  5.533
0.015 7.600   5.974  5.266
0.015 7.600   5.465  4.838
0.015 7.600   3.496  3.162
0.015 7.600   7.981  6.894
0.015 7.600   6.377  5.589
0.015 7.600   5.718  5.051
0.015 7.600  -0.314 -0.171
0.015 7.700   6.337  5.572
0.015 7.700   3.251  2.957
0.015 7.700   6.389  5.616
0.015 7.700   1.877  1.842
0.015 7.700   9.186  7.879
0.015 7.700   9.230  7.917
0.015 7.700   3.699  3.334
0.015 7.700   4.597  4.105
0.015 7.700   6.876  6.025
0.015 7.700   1.882  1.847
0.015 7.700   0.976  1.048
0.015 7.700   6.837  5.993
0.015 7.700   8.910  7.643
0.015 7.700   5.767  5.092
0.015 7.700   3.997  3.591
0.015 7.700   5.824  5.140
0.015 7.700   5.486  4.855
0.015 7.700   1.610  1.616
0.015 7.700   4.726  4.215
0.015 7.700   5.870  5.179
0.015 7.700   3.779  3.403
0.015 7.700   4.136  3.710
0.015 7.700  -1.488 -1.311
0.015 7.700   3.533  3.193
0.015 7.700   8.190  7.069
0.015 7.700   5.067  4.501
0.015 7.700   7.004  6.131
0.015 7.700   8.452  7.275
0.015 7.700   5.137  4.561
0.015 7.700   7.112  6.218
0.015 7.700   8.163  7.049
0.015 7.700  -0.405 -0.262
0.015 7.700   4.732  4.220
0.015 7.700   2.747  2.544
0.015 7.700   0.242  0.356
0.015 7.700   7.489  6.523
0.015 7.700   4.345  3.891
0.015 7.700   4.388  3.928
0.015 7.700   1.713  1.704
0.015 7.700   3.686  3.323
0.015 7.700   0.377  0.485
0.015 7.700   6.641  5.828
0.015 7.700   9.270  7.952
0.015 7.700   6.060  5.340
0.015 7.700   3.169  2.890
0.015 7.700   6.348  5.581
0.015 7.700   2.268  2.162
0.015 7.700   1.891  1.854
0.015 7.700   2.328  2.209
0.015 7.700   7.073  6.187
0.015 7.700   7.134  6.236
0.015 7.700   6.424  5.645
0.015 7.700   5.862  5.172
0.015 7.700   9.175  7.869
0.015 7.700   1.554  1.568
0.015 7.700   7.492  6.526
0.015 7.700   7.195  6.286
0.015 7.700   1.898  1.860
0.015 7.700   7.192  6.283
0.015 7.700   4.168  3.738
0.015 7.700   8.380  7.217
0.015 7.700   1.502  1.523
0.015 7.700   7.928  6.867
0.015 7.700   0.896  0.974
0.015 7.700   4.741  4.228
0.015 7.700   4.468  3.996
0.015 7.700   9.247  7.932
0.015 7.700   2.020  1.960
0.015 7.700   2.587  2.416
0.015 7.700   1.578  1.589
0.015 7.700   7.396  6.448
0.015 7.700   1.870  1.836
0.015 7.700  -0.312 -0.173
0.015 7.700   9.045  7.756
0.015 7.700   0.803  0.887
0.015 7.700   5.337  4.729
0.015 7.700   5.271  4.674
0.015 7.700   0.463  0.566
0.015 7.700   6.180  5.441
0.015 7.700   5.820  5.137
0.015 7.700   7.496  6.530
0.015 7.700  -0.376 -0.234
0.015 7.700   0.078  0.200
0.015 7.700   2.173  2.085
0.015 7.700   4.081  3.663
0.015 7.700  -1.006 -0.841
0.015 7.700   8.785  7.540
0.015 7.700   6.482  5.694
0.015 7.700   4.641  4.143
0.015 7.700   4.823  4.297
0.015 7.700   8.440  7.266
0.015 7.700   1.634  1.636
0.015 7.700   2.322  2.205
0.015 7.700   5.119  4.546
0.015 7.700  -0.322 -0.182
0.015 7.700   4.847  4.317
0.015 7.700   2.738  2.537
0.015 7.700  -0.503 -0.356
0.015 7.700   4.861  4.329
0.015 7.700   6.481  5.694
0.015 7.700   0.203  0.319
0.015 7.700   6.553  5.754
0.015 7.700   6.893  6.039
0.015 7.700  -1.131 -0.962
0.015 7.700   5.562  4.919
0.015 7.700   8.784  7.539
0.015 7.700   3.030  2.776
0.015 7.700   6.892  6.038
0.015 7.700   5.080  4.512
0.015 7.700   5.041  4.480
0.015 7.700  -2.024 -1.840
0.015 7.700   6.364  5.595
0.015 7.700   1.740  1.727
0.015 7.700   5.165  4.585
0.015 7.700   5.110  4.538
0.015 7.700   3.957  3.556
0.015 7.700   7.016  6.140
0.015 7.700   5.506  4.872
0.015 7.700   4.665  4.163
0.015 7.700   1.071  1.135
0.015 7.700  -3.735 -4.715
0.015 7.700   6.970  6.103
0.015 7.700   6.437  5.656
0.015 7.700   6.596  5.790
0.015 7.700   6.261  5.508
0.015 7.700   5.588  4.941
0.015 7.700   3.030  2.776
0.015 7.700   4.114  3.691
0.015 7.700   6.456  5.672
0.015 7.700   7.959  6.891
0.015 7.700   7.490  6.524
0.015 7.700   6.142  5.408
0.015 7.700  -0.269 -0.132
0.015 7.700   1.925  1.882
0.015 7.700   6.361  5.592
0.015 7.700   1.612  1.617
0.015 7.700   5.503  4.870
0.015 7.700   8.035  6.949
0.015 7.700   9.197  7.888
0.015 7.700   1.942  1.896
0.015 7.700   1.686  1.681
0.015 7.700   2.793  2.582
0.015 7.700   7.132  6.234
0.015 7.700   5.924  5.224
0.015 7.700   5.053  4.490
0.015 7.700   0.954  1.028
0.015 7.700   5.523  4.886
0.015 7.700   1.614  1.619
0.015 7.700   7.304  6.374
0.015 7.700   4.474  4.001
0.015 7.700   6.071  5.349
0.015 7.700   1.806  1.783
0.015 7.700   1.619  1.623
0.015 7.700   7.459  6.500
0.015 7.700   6.921  6.062
0.015 7.700  -2.673 -2.494
0.015 7.700  -2.011 -1.828
0.015 7.700   9.035  7.747
0.015 7.700   7.413  6.462
0.015 7.700   6.748  5.919
0.015 7.700   0.404  0.510
0.015 7.700   5.918  5.220
0.015 7.700   6.371  5.601
0.015 7.700   1.679  1.675
0.015 7.700   4.451  3.981
0.015 7.700   7.405  6.456
0.015 7.700   7.548  6.571
0.015 7.700  -0.251 -0.115
0.015 7.700   6.615  5.806
0.015 7.700   8.981  7.702
0.015 7.700   6.446  5.664
0.015 7.700   5.747  5.075
0.015 7.700   7.431  6.476
0.015 7.700   0.931  1.006
0.015 7.700   2.027  1.967
0.015 7.700   7.497  6.530
0.015 7.700   5.653  4.996
0.015 7.700   3.050  2.792
0.015 7.700   6.209  5.465
0.015 7.700   2.206  2.112
0.015 7.700   2.955  2.714
0.015 7.700   5.889  5.195
0.015 7.700   5.209  4.621
0.015 7.700   3.000  2.751
0.015 7.700  -0.522 -0.374
0.015 7.700   9.214  7.903
0.015 7.700   1.249  1.298
0.015 7.700   4.828  4.301
0.015 7.700   1.845  1.815
0.015 7.700   2.432  2.292
0.015 7.700   7.104  6.212
0.015 7.700   4.054  3.640
0.015 7.700   2.321  2.204
0.015 7.700   2.895  2.665
0.015 7.700   5.704  5.039
0.015 7.700   7.343  6.406
0.015 7.700   6.685  5.865
0.015 7.700   8.845  7.589
0.015 7.700   4.571  4.083
0.015 7.700   6.379  5.607
0.015 7.700   5.276  4.678
0.015 7.700  -1.678 -1.497
0.015 7.700   2.595  2.422
0.015 7.700   7.522  6.550
0.015 7.700   0.612  0.707
0.015 7.700   4.154  3.726
0.015 7.700   8.075  6.981
0.015 7.700   0.017  0.142
0.015 7.700   6.134  5.401
0.015 7.700   7.933  6.871
0.015 7.700   5.184  4.600
0.015 7.700   6.906  6.049
0.015 7.700   8.558  7.359
0.015 7.700   7.380  6.435
0.015 7.700   5.702  5.037
0.015 7.700   6.186  5.446
0.015 7.700   8.543  7.347
0.015 7.700   5.327  4.721
0.015 7.700   2.393  2.261
0.015 7.700   7.029  6.151
0.015 7.700   6.781  5.947
0.015 7.700   5.768  5.092
0.015 7.700   9.223  7.911
0.015 7.700   6.105  5.377
0.015 7.700   1.737  1.724
0.015 7.700  -2.342 -4.060
0.015 7.700   2.748  2.545
0.015 7.700   4.788  4.267
0.015 7.700   6.559  5.758
0.015 7.700   9.260  7.943
0.015 7.700   7.000  6.127
0.015 7.700   8.146  7.035
0.015 7.700   4.370  3.913
0.015 7.700   1.962  1.913
0.015 7.700   1.068  1.133
0.015 7.700   4.128  3.703
0.015 7.700  -0.593 -0.443
0.015 7.700   7.734  6.717
0.015 7.700   6.913  6.055
0.015 7.700   9.044  7.755
0.015 7.700   4.115  3.692
0.015 7.700   5.994  5.283
0.015 7.700   2.974  2.730
0.015 7.700   0.535  0.634
0.015 7.700   4.680  4.176
0.015 7.700   1.142  1.201
0.015 7.700   7.167  6.263
0.015 7.700   7.580  6.597
0.015 7.700   6.758  5.927
0.015 7.700   2.740  2.539
0.015 7.700   3.635  3.279
0.015 7.700   6.827  5.985
0.015 7.700   8.448  7.272
0.015 7.700   6.266  5.513
0.015 7.700   7.279  6.354
0.015 7.700   5.620  4.968
0.015 7.700   7.181  6.274
0.015 7.700   6.939  6.077
0.015 7.700  -0.247 -0.110
0.015 7.700   3.288  2.988
0.015 7.700   0.875  0.955
0.015 7.700  -0.900 -0.739
0.015 7.700   2.408  2.274
0.015 7.700   2.074  2.005
0.015 7.700   8.920  7.650
0.015 7.700   5.618  4.966
0.015 7.700   2.705  2.510
0.015 7.700   7.800  6.768
0.015 7.700   7.493  6.527
0.015 7.700   5.211  4.623
0.015 7.700   1.019  1.088
0.015 7.700   6.535  5.739
0.015 7.700   3.440  3.114
0.015 7.700   9.185  7.877
0.015 7.700   3.087  2.822
0.015 7.700   5.746  5.075
0.015 7.700   6.542  5.745
0.015 7.700  -0.941 -0.778
0.015 7.700   4.692  4.186
0.015 7.700   4.891  4.354
0.015 7.700   1.685  1.680
0.015 7.700   8.970  7.693
0.015 7.700   1.295  1.339
0.015 7.700   6.745  5.916
0.015 7.700   4.812  4.287
0.015 7.700   6.584  5.780
0.015 7.700   2.243  2.142
0.015 7.700   7.534  6.560
0.015 7.700  -0.213 -0.078
0.015 7.700   8.598  7.391
0.015 7.700   5.444  4.819
0.015 7.700   4.932  4.389
0.015 7.700   2.936  2.699
0.015 7.700   4.839  4.310
0.015 7.700   7.973  6.902
0.015 7.700   8.446  7.270
0.015 7.700   5.407  4.789
0.015 7.700   4.091  3.672
0.015 7.700   7.119  6.223
0.015 7.700  -0.155 -0.022
0.015 7.700   5.488  4.857
0.015 7.700   7.652  6.654
0.015 7.700   1.883  1.848
0.015 7.700   1.782  1.762
0.015 7.700   7.258  6.337
0.015 7.700   2.518  2.360
0.015 7.700   6.638  5.826
0.015 7.700   4.364  3.907
0.015 7.700   6.515  5.722
0.015 7.700   1.988  1.935
0.015 7.700   6.768  5.936
0.015 7.700  -0.752 -0.595
0.015 7.700   6.081  5.357
0.015 7.700   0.517  0.618
0.015 7.700   5.312  4.708
0.015 7.700   7.525  6.553
0.015 7.700   7.925  6.865
0.015 7.700   6.865  6.016
0.015 7.700   3.659  3.300
0.015 7.700   6.690  5.869
0.015 7.700   4.106  3.684
0.015 7.700   5.923  5.224
0.015 7.700   1.169  1.225
0.015 7.700   3.358  3.047
0.015 7.700   1.796  1.775
0.015 7.700   7.161  6.258
0.015 7.700   4.873  4.339
0.015 7.700   9.264  7.947
0.015 7.700   2.767  2.561
0.015 7.700   3.620  3.266
0.015 7.700   4.829  4.301
0.015 7.700  -0.517 -0.370
0.015 7.700   3.981  3.577
0.015 7.700   5.736  5.066
0.015 7.700   0.106  0.226
0.015 7.700   4.803  4.280
0.015 7.700   6.866  6.017
0.015 7.700   5.494  4.862
0.015 7.700   7.369  6.427
0.015 7.700  -3.058 -2.888
0.015 7.700   5.781  5.104
0.015 7.700   0.425  0.530
0.015 7.700   6.474  5.688
0.015 7.700   9.293  7.972
0.015 7.700   1.635  1.637
0.015 7.700  -1.092 -0.924
0.015 7.700   0.604  0.700
0.015 7.700   8.045  6.957
0.015 7.700  -2.253 -3.688
0.015 7.700   0.432  0.537
0.015 7.700   3.111  2.842
0.015 7.700   9.263  7.945
0.015 7.700   7.128  6.231
0.015 7.700   8.172  7.056
0.015 7.700   2.066  1.998
0.015 7.700   1.046  1.113
0.015 7.700   4.734  4.222
0.015 7.700   6.823  5.981
0.015 7.700   0.423  0.528
0.015 7.700   6.265  5.512
0.015 7.700   1.210  1.262
0.015 7.700   3.100  2.833
0.015 7.700   7.548  6.572
0.015 7.700   6.479  5.692
0.015 7.700   4.445  3.976
0.015 7.700   6.742  5.913
0.015 7.700   5.649  4.992
0.015 7.700   1.546  1.561
0.015 7.700   1.335  1.375
0.015 7.700  -0.115  0.016
0.015 7.700   4.739  4.226
0.015 7.700   8.741  7.505
0.015 7.700   8.190  7.070
0.015 7.700   2.005  1.948
0.015 7.700   5.412  4.793
0.015 7.700   1.882  1.846
0.015 7.700   2.538  2.377
0.015 7.700   3.339  3.031
0.015 7.700  -0.264 -0.127
0.015 7.700  -1.555 -1.376
0.015 7.700   8.583  7.379
0.015 7.700  -0.515 -0.367
0.015 7.700   2.457  2.312
0.015 7.700   1.682  1.678
0.015 7.700   2.047  1.982
0.015 7.700   1.006  1.076
0.015 7.700   2.962  2.720
0.015 7.700   7.270  6.347
0.015 7.700   0.187  0.304
0.015 7.700   8.801  7.553
0.015 7.700   7.381  6.436
0.015 7.700   5.058  4.494
0.015 7.700   0.606  0.701
0.015 7.700   8.559  7.360
0.015 7.700   1.833  1.806
0.015 7.700   4.747  4.232
0.015 7.700   6.346  5.580
0.015 7.700   6.804  5.966
0.015 7.700   7.179  6.272
0.015 7.700   4.928  4.385
0.015 7.700   7.588  6.604
0.015 7.700   2.097  2.023
0.015 7.700   5.805  5.124
0.015 7.700   6.263  5.510
0.015 7.700  -0.512 -0.365
0.015 7.700   4.560  4.074
0.015 7.700   5.031  4.472
0.015 7.700   1.336  1.376
0.015 7.700   2.744  2.542
0.015 7.700   4.200  3.766
0.015 7.700   1.559  1.572
0.015 7.700   5.979  5.271
0.015 7.700   2.744  2.542
0.015 7.700   5.439  4.815
0.015 7.700   0.350  0.459
0.015 7.700   7.559  6.581
0.015 7.700   6.389  5.616
0.015 7.700   6.147  5.413
0.015 7.700   4.189  3.756
0.015 7.700   6.137  5.404
0.015 7.700  -0.133 -0.001
0.015 7.700   3.220  2.932
0.015 7.700   6.943  6.080
0.015 7.700   0.629  0.724
0.015 7.700   6.979  6.110
0.015 7.700   6.152  5.417
0.015 7.700   1.944  1.898
0.015 7.700   1.315  1.357
0.015 7.700   4.289  3.842
0.015 7.700   1.769  1.752
0.015 7.700   2.152  2.068
0.015 7.700   3.655  3.296
0.015 7.700   0.466  0.569
0.015 7.700   7.179  6.272
0.015 7.700   7.147  6.246
0.015 7.700   2.342  2.221
0.015 7.700   3.146  2.871
0.015 7.700   3.617  3.264
0.015 7.700   3.366  3.053
0.015 7.700   5.372  4.759
0.015 7.700   7.277  6.352
0.015 7.700  -0.067  0.062
0.015 7.700   9.301  7.979
0.015 7.700   2.687  2.496
0.015 7.700   8.328  7.177
0.015 7.700   3.203  2.918
0.015 7.700   5.496  4.864
0.015 7.700   1.732  1.721
0.015 7.700   3.824  3.441
0.015 7.700   8.646  7.429
0.015 7.700   0.674  0.765
0.015 7.700   1.222  1.274
0.015 7.700  -0.767 -0.610
0.015 7.700   3.707  3.341
0.015 7.700   1.772  1.754
0.015 7.700   7.016  6.141
0.015 7.700   0.261  0.374
0.015 7.700   2.309  2.195
0.015 7.700   4.736  4.223
0.015 7.700  -0.436 -0.291
0.015 7.700   7.077  6.190
0.015 7.700   6.306  5.546
0.015 7.700  -0.745 -0.589
0.015 7.700   9.126  7.826
0.015 7.700   4.597  4.105
0.015 7.700   5.267  4.670
0.015 7.700   5.523  4.886
0.015 7.700  -0.310 -0.171
0.015 7.700   6.101  5.374
0.015 7.700   1.092  1.155
0.015 7.700   6.971  6.104
0.015 7.700   6.795  5.959
0.015 7.700   8.927  7.657
0.015 7.700   5.155  4.576
0.015 7.700   2.635  2.455
0.015 7.700   6.991  6.120
0.015 7.700   0.066  0.188
0.015 7.700   5.272  4.675
0.015 7.700   6.565  5.764
0.015 7.700   3.833  3.450
0.015 7.700   5.322  4.717
0.015 7.700   7.152  6.250
0.015 7.700   4.879  4.344
0.015 7.700   3.852  3.466
0.015 7.700   6.826  5.984
0.015 7.700   6.779  5.945
0.015 7.700   7.624  6.632
0.015 7.700   1.439  1.468
0.015 7.700   8.934  7.662
0.015 7.700   1.261  1.308
0.015 7.700   1.736  1.724
0.015 7.700   1.569  1.581
0.015 7.700   7.154  6.252
0.015 7.700   8.112  7.009
0.015 7.700   0.240  0.355
0.015 7.700   5.943  5.240
0.015 7.700   4.686  4.181
0.015 7.700   2.226  2.129
0.015 7.700   6.507  5.715
0.015 7.700  -0.865 -0.705
0.015 7.700   3.731  3.362
0.015 7.700   3.684  3.321
0.015 7.700   4.495  4.019
0.015 7.700   4.890  4.353
0.015 7.700   7.201  6.290
0.015 7.700   1.159  1.216
0.015 7.700   5.166  4.585
0.015 7.700   8.722  7.489
0.015 7.700   5.284  4.685
0.015 7.700   1.735  1.722
0.015 7.700   5.651  4.994
0.015 7.700   5.206  4.618
0.015 7.700  -2.135 -3.628
0.015 7.700   7.482  6.518
0.015 7.700   5.951  5.247
0.015 7.700   0.916  0.992
0.015 7.700  -1.624 -1.443
0.015 7.700   7.088  6.199
0.015 7.700   4.391  3.931
0.015 7.700   7.495  6.528
0.015 7.700   5.789  5.111
0.015 7.700   9.209  7.899
0.015 7.700   3.034  2.779
0.015 7.700   3.775  3.400
0.015 7.700   8.106  7.004
0.015 7.700   6.873  6.023
0.015 7.700   9.324  7.999
0.015 7.700   8.563  7.363
0.015 7.700   6.371  5.601
0.015 7.700   6.699  5.877
0.015 7.700   7.566  6.586
0.015 7.700   6.112  5.383
0.015 7.700   4.789  4.268
0.015 7.700   5.915  5.217
0.015 7.700   5.980  5.271
0.015 7.700   5.679  5.017
0.015 7.700   2.071  2.002
0.015 7.700   8.934  7.662
0.015 7.700   9.180  7.873
0.015 7.700   6.959  6.093
0.015 7.700   5.072  4.506
0.015 7.700   7.346  6.408
0.015 7.700   5.885  5.192
0.015 7.700   4.139  3.713
0.015 7.700   5.549  4.908
0.015 7.700   0.322  0.432
0.015 7.700   4.175  3.744
0.015 7.700   6.489  5.701
0.015 7.700   3.700  3.335
0.015 7.700   2.345  2.224
0.015 7.700   3.043  2.786
0.015 7.700   4.085  3.666
0.015 7.700   4.590  4.099
0.015 7.700   1.357  1.395
0.015 7.700   3.888  3.497
0.015 7.700   0.344  0.453
0.015 7.700   1.854  1.823
0.015 7.700   1.763  1.747
0.015 7.700   6.187  5.446
0.015 7.700  -1.339 -1.165
0.015 7.700   7.574  6.593
0.015 7.700   7.711  6.699
0.015 7.700   5.299  4.697
0.015 7.700   2.941  2.703
0.015 7.700   1.835  1.807
0.015 7.700  -0.126  0.005
0.015 7.700   6.851  6.004
0.015 7.700   1.895  1.858
0.015 7.700  -2.381 -2.199
0.015 7.700   5.489  4.858
0.015 7.700   8.401  7.234
0.015 7.700   7.590  6.605
0.015 7.700   0.883  0.962
0.015 7.700   8.997  7.715
0.015 7.700   5.922  5.223
0.015 7.700   5.141  4.564
0.015 7.700   6.748  5.919
0.015 7.700   2.861  2.637
0.015 7.700   5.080  4.513
0.015 7.700   2.825  2.608
0.015 7.700   4.784  4.264
0.015 7.700  -0.425 -0.281
0.015 7.700   8.060  6.969
0.015 7.700   4.384  3.925
0.015 7.700  -2.185 -2.002
0.015 7.700   7.445  6.488
0.015 7.700   2.921  2.687
0.015 7.700   4.811  4.286
0.015 7.700   5.569  4.925
0.015 7.700   6.196  5.454
0.015 7.700   0.836  0.918
0.015 7.700   1.769  1.751
0.015 7.700   7.499  6.531
0.015 7.700   1.031  1.099
0.015 7.700   1.364  1.401
0.015 7.700   7.501  6.533
0.015 7.700  -0.999 -0.834
0.015 7.700   3.295  2.994
0.015 7.700   9.088  7.794
0.015 7.700   5.324  4.718
0.015 7.700   1.212  1.264
0.015 7.700   0.314  0.425
0.015 7.700   6.727  5.901
0.015 7.700   6.529  5.734
0.015 7.700   2.226  2.128
0.015 7.700   1.810  1.786
0.015 7.700   7.753  6.731
0.015 7.700   0.007  0.132
0.015 7.700   2.165  2.079
0.015 7.700   1.535  1.551
0.015 7.700   6.163  5.426
0.015 7.700   3.951  3.552
0.015 7.700   3.774  3.398
0.015 7.700   5.487  4.856
0.015 7.700   7.342  6.405
0.015 7.700   3.228  2.939
0.015 7.700   4.952  4.405
0.015 7.700   1.221  1.273
0.015 7.700   7.603  6.616
0.015 7.700  -2.709 -2.531
0.015 7.700   6.685  5.865
0.015 7.700   9.232  7.919
0.015 7.700   7.974  6.903
0.015 7.700   6.096  5.370
0.015 7.700   7.035  6.156
0.015 7.700   2.382  2.253
0.015 7.700   5.316  4.712
0.015 7.700   5.039  4.478
0.015 7.700   6.208  5.464
0.015 7.700   5.675  5.014
0.015 7.700   6.922  6.063
0.015 7.700  -1.019 -0.854
0.015 7.700   3.525  3.187
0.015 7.700   6.005  5.293
0.015 7.700   6.982  6.112
0.015 7.700   6.467  5.681
0.015 7.700   5.273  4.676
0.015 7.700   7.586  6.602
0.015 7.700   6.273  5.518
0.015 7.700   5.625  4.972
0.015 7.700   4.539  4.056
0.015 7.700   3.508  3.172
0.015 7.800   4.920  4.379
0.015 7.800   8.850  7.618
0.015 7.800   0.027  0.149
0.015 7.800   6.791  5.956
0.015 7.800   7.674  6.695
0.015 7.800   6.297  5.536
0.015 7.800   2.828  2.610
0.015 7.800   4.210  3.774
0.015 7.800   7.100  6.216
0.015 7.800   0.258  0.369
0.015 7.800   5.593  4.945
0.015 7.800   8.759  7.544
0.015 7.800   3.598  3.248
0.015 7.800   5.139  4.563
0.015 7.800   0.662  0.752
0.015 7.800   4.830  4.302
0.015 7.800   1.954  1.905
0.015 7.800   4.404  3.942
0.015 7.800   4.145  3.718
0.015 7.800   6.551  5.752
0.015 7.800   8.405  7.258
0.015 7.800   5.907  5.209
0.015 7.800   0.037  0.158
0.015 7.800   7.993  6.941
0.015 7.800   8.630  7.439
0.015 7.800   9.033  7.769
0.015 7.800   3.241  2.949
0.015 7.800   5.628  4.974
0.015 7.800   3.491  3.158
0.015 7.800   6.506  5.713
0.015 7.800   4.327  3.875
0.015 7.800   4.551  4.066
0.015 7.800   4.275  3.830
0.015 7.800   7.898  6.869
0.015 7.800   8.209  7.105
0.015 7.800   9.221  7.927
0.015 7.800   7.952  6.910
0.015 7.800   3.032  2.777
